epoch,train_loss,valid_loss,learning_rate
1,0.4321765269772,0.4669256643112749,1e-05
2,0.38887642339585216,0.4533658836196576,1e-05
3,0.3809221626103315,0.4488768206869385,1e-05
4,0.3764396691610621,0.4472771151403763,1e-05
5,0.37309904908786906,0.4421707135804796,1e-05
6,0.36978095598067046,0.43807118066386985,1e-05
7,0.36753135371850054,0.4365750768048955,1e-05
8,0.3654308978773941,0.433778781861599,1e-05
9,0.36319423512143234,0.4330423025015209,1e-05
10,0.36253168572596595,0.42968184964664813,1e-05
11,0.36152111098851086,0.4290922922308424,1e-05
12,0.36054341403848417,0.42794735548552126,1e-05
13,0.3598109654825875,0.42755257615353914,1e-05
14,0.35860836615249186,0.42584770365485125,1e-05
15,0.3582789132032236,0.42560928875447385,1e-05
16,0.35784597011512226,0.42623341077107135,1e-05
17,0.35697338280930585,0.4248041493492201,1e-05
18,0.3567237997342345,0.4257500543012949,1e-05
19,0.3566264790067115,0.4247596002147267,1e-05
20,0.35632773086200914,0.42474029009928926,1e-05
21,0.35549147914648027,0.4234757427861249,1e-05
22,0.3555474337514566,0.4228221503518788,1e-05
23,0.35471595426584346,0.4263925406805772,1e-05
24,0.3548955925483769,0.4229046056708986,1e-05
25,0.3542431947759779,0.4222293121763505,1e-05
26,0.3542406233186657,0.4214887292154266,1e-05
27,0.3536966285905976,0.42075477768966396,1e-05
28,0.353417472816727,0.41990988580609806,1e-05
29,0.35319460757915805,0.41851622710170755,1e-05
30,0.35249596254121746,0.42001175417564807,1e-05
